original_uri,author,text,uri
at://did:plc:siclj5jstt2xodsn7epgnqld/app.bsky.feed.post/3m6nl6no3bk2u,robosullivan.bsky.social,"This is obviously bad, but what's worse is I can guarantee you the only ""plan"" Fianna Fáil and Fine Gael have for when this 3 year period lapses will be to ask for another extension. 
We will get a line about needing ""balance"" between the environment and livelihoods #spéirgorm",at://did:plc:siclj5jstt2xodsn7epgnqld/app.bsky.feed.post/3m6nl6no3bk2u
at://did:plc:uwji4l3wzsygaxduowluqmgr/app.bsky.feed.post/3m6nazursrk2v,sharrow.bsky.social,"Yeah mr taxi driver, if you are going to make comments about my mask, the 'plandemic'; telling how I just need to eat 'clean' mushroom supplements you heard about via Joe Rogan, then I am going to tell you I have cancer and I don't want talk for the rest of the journey. 

#spéirgorm 

And let you",at://did:plc:uwji4l3wzsygaxduowluqmgr/app.bsky.feed.post/3m6nazursrk2v
at://did:plc:uwji4l3wzsygaxduowluqmgr/app.bsky.feed.post/3m6n6su2nak2p,sharrow.bsky.social,"The population growth 'argument' is sheer bullshit.

Pre 1880s ireland had 8 million people.

We have space, what we don't have is inferstructure thanks to the lack of forward thinking and implantation of growth plans, for the country.

Thanks FF & FG. 

#supergluedpockets 

#spéirgorm",at://did:plc:uwji4l3wzsygaxduowluqmgr/app.bsky.feed.post/3m6n6su2nak2p
at://did:plc:xzzjiym2bjfnya4eare3od6x/app.bsky.feed.post/3m6n4xdgle22e,roboconnor.bsky.social,Dear @newyorker.com - #Ireland would like to raise on objection #speirgorm,at://did:plc:xzzjiym2bjfnya4eare3od6x/app.bsky.feed.post/3m6n4xdgle22e
at://did:plc:7czbhyt6vmlibzjk2md3ds36/app.bsky.feed.post/3m6n2k2tyis22,slated.ie,"They call it Black Friday —
a day for rushing, grabbing, and taking.

We love the quiet — the table, the laughter, the pieces made by hand for years of memory, not minutes of chaos.

Our pieces are shaped by hands, not hysteria.

We choose warmth over waste. 

🖤🇮🇪✨

 #SLATED #speirgorm 

Slated.ie",at://did:plc:7czbhyt6vmlibzjk2md3ds36/app.bsky.feed.post/3m6n2k2tyis22
at://did:plc:v6y63c54iecyzlxp3vrxvwv2/app.bsky.feed.post/3m6mxfjapck2r,rdisc0mb0bulate.bsky.social,"Yep! Delighted with it! 

Fair play to Eldest! 
#SpeirGorm",at://did:plc:v6y63c54iecyzlxp3vrxvwv2/app.bsky.feed.post/3m6mxfjapck2r
at://did:plc:wzelpzmv2b3oudwhkcpr2s6n/app.bsky.feed.post/3m6mwmyrar22b,drmarymcauliffe.bsky.social,"The wonderful things you see when rambling through the city - ‘a consciousness of their own dignity and worth should be encouraged in women’, Countess Markievicz #speirgorm",at://did:plc:wzelpzmv2b3oudwhkcpr2s6n/app.bsky.feed.post/3m6mwmyrar22b
at://did:plc:73huo7yhxqkafs2xyr36hqt6/app.bsky.feed.post/3m6mqpqqwbc2e,sarahskeeter.bsky.social,"Is it just me or do Irish men politicians favour a blue suit to an unreasonable degree? Is this everywhere or just us?

#spéirgorm",at://did:plc:73huo7yhxqkafs2xyr36hqt6/app.bsky.feed.post/3m6mqpqqwbc2e
at://did:plc:v6y63c54iecyzlxp3vrxvwv2/app.bsky.feed.post/3m6mqi5k6g22z,rdisc0mb0bulate.bsky.social,"It has arrived and Eldest is on the case with his trusty electronic screwdriver! 

#SpeirGorm",at://did:plc:v6y63c54iecyzlxp3vrxvwv2/app.bsky.feed.post/3m6mqi5k6g22z
at://did:plc:tjj7toux5q6m2v7x2unyhznh/app.bsky.feed.post/3m6mppndsv22j,judesherry.bsky.social,"We need to talk about HOLIDAY HOMES

If you already own a home, should you be allowed to buy a spare one?

The Dutch don't think so 

New laws require buyers to obtain permits to buy a 2nd home, while existing owners will be given 1 year amnesty
#DerelictIreland #speirgorm #EveryoneShouldHaveAHome",at://did:plc:tjj7toux5q6m2v7x2unyhznh/app.bsky.feed.post/3m6mppndsv22j
